Zirport ID,Name,City,Country ,IATA,ICAO,Latitude,Longitude,Altidude,Time Zone,DST,Database time zone,Type of Airport,Source
11084,Guymon Municipal Airport,Guymon,United States,GUY,KGUY,36.69,-101.51,3123,-5,A,\N,airport,OurAirports
11086,Meade Municipal Airport,Meade,United States,\N,KMEJ,37.28,-100.36,2529,-5,A,\N,airport,OurAirports
11087,Turkey Mountain Estates Airport,Shell Knob,United States,\N,MO00,36.59,-93.67,1000,-5,A,\N,airport,OurAirports
11088,Ulysses Airport,Ulysses,United States,\N,KULS,37.6,-101.37,3071,-5,A,\N,airport,OurAirports
11089,Flagler Aerial Spraying Inc Airport,Flagler,United States,\N,CO00,39.28,-103.07,4945,-6,A,\N,airport,OurAirports
11090,Independence Municipal Airport,Independence,United States,IDP,KIDP,37.16,-95.78,825,-5,A,\N,airport,OurAirports
11091,Augusta Municipal Airport,Augusta,United States,\N,K3AU,37.67,-97.08,1328,-5,A,\N,airport,OurAirports
11092,Larned Pawnee County Airport,Larned,United States,\N,KLQR,38.21,-99.09,2012,-5,A,\N,airport,OurAirports
11093,Lampasas Airport,Lampasas,United States,\N,KLZZ,31.11,-98.2,1215,-5,A,\N,airport,OurAirports
11094,Bay City Municipal Airport,Bay City,United States,BBC,KBYY,28.97,-95.86,45,-5,A,\N,airport,OurAirports
11095,Cox Field,Paris,United States,PRX,KPRX,33.64,-95.45,547,-5,A,\N,airport,OurAirports
11096,Coffeyville Municipal Airport,Coffeyville,United States,CFV,KCFV,37.09,-95.57,754,-5,A,\N,airport,OurAirports
11097,The Farm Airport,Summit,United States,\N,24SC,33.94,-81.43,580,-4,A,\N,airport,OurAirports
11098,Greeley‰ÛÒWeld County Airport,Greeley,United States,GXY,KGXY,40.44,-104.63,4697,-7,A,\N,airport,OurAirports
11099,General Dewitt Spain Airport,Memphis,United States,\N,KM01,35.2,-90.05,225,-4,A,\N,airport,OurAirports
11100,Oryol Yuzhny Airport,Oakley,United States,OEL,UUOR,52.93,36,656,-5,A,\N,airport,OurAirports
11101,Fremont Municipal Airport,Fremont,United States,FET,KFET,41.45,-96.52,1204,-5,A,\N,airport,OurAirports
